Price,Size
109900,1249
110000,1000
134900,1080
170000,1280
192900,1603
200000,1139
215000,1450
235900,1400
239950,1348
249000,1400
250000,1470
299000,1460
299000,1719
314000,1794
319000,1600
324900,1800
348000,1600
350000,1750
399000,1850
425000,1910
